,numero_solicitacao,maiorAtraso,margemBrutaAcumulada,percentualProtestos,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,limiteEmpresaAnaliseCredito,Unnamed: 0,numero_solicitacao,maiorAtraso,margemBrutaAcumulada,percentualProtestos,prazoMedioRecebimentoVendas
10,intervaloFundacao_De 11 a 16 anos.csv,4381.207933461293,4443.996801023673,30.663467690339093,0.37094708557280875,0.004471273667157585,21.538067818298146,71370.90200895714,705868.1241202815,0.7526464846612965,0.24735351533870342,0.015529126137729693,197479.89676531314,29853659.5755627,16631052.734190783,39965370.946409434,17608938.659163985,2384472.026795284,15145504.263665594,9758017.435155412,41322308.685220726,13324293.45681382,10.317978246960973,20453504.887396034,2006.9532949456175,4121590.5451055663,0.10108765195137556,0.3621241202815099,0.826221247715291,1673755.669865643,,
11,intervaloFundacao_De 6 a 10 anos.csv,4433.405602240897,4497.425770308123,26.216806722689075,0.35159486342834734,0.010175373775017253,24.662745098039217,67023.52174229691,1847097.3075630253,0.739366312562761,0.260633687437239,0.06984683711307352,222400.4469650521,43300632.1445905,28870068.955510616,66153384.62386249,23810440.445904955,6654809.487360971,11395829.691607684,22300878.90091001,73313729.81894618,24091064.632286996,10.41255605381166,41585094.26008969,2012.021848739496,20855705.547338936,0.1030812324929972,0.45714285714285713,0.7730796652160223,4511945.2464986,,
12,intervaloFundacao_nan.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,restricoes_False.csv,4446.464065433092,4510.6071332797,23.60498793242156,0.36641480169419416,0.011134064566049776,23.25596674711719,61590.96505631537,685254.7161437382,0.735350984380455,0.2646490156195449,0.045492555537170166,171170.53079633546,33403061.529246606,27739829.92395882,50875907.57276556,22502237.829433784,2683217.5453907344,13896457.91974731,9678402.506083295,37326531.27626459,10556542.553334229,10.439688715953308,17758622.57278948,2006.195494770716,6610317.585545722,0.0,0.39782783588093323,0.8069671605044785,1870833.1769911505,,
14,restricoes_nan.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,restricoes_True.csv,4242.762337662338,4302.572727272727,31.684415584415586,0.34415978024493504,0.0660441907980456,18.674025974025973,91482.9355844156,346296.96623376623,0.6537407673189344,0.34625923268106557,0.10982178987362651,468533.9641350211,147935677.61437908,91963445.8888889,255666527.3398693,82406959.79302832,23355192.80174292,42124416.02396514,67022497.87145969,236469131.20779222,70929769.53896104,9.774025974025975,131299961.21688312,2004.4,55809574.402597405,1.0,0.2792207792207792,0.7525702866925974,12344793.670129871,,
16,status_AguardandoAprovacao.csv,8963.0,9036.0,18.0,0.4901655208,0.0,47.0,33269.26,50000.0,0.875,0.125,0.999533203305146,,,3413036.0,1115529.0,3850888.0,2735358.0,0.0,2473428.0,892027.0,4699829.0,2548248.0,12.0,2151581.0,2013.0,280000.0,0.0,0.0,1.0,52000.0,
17,status_AprovadoAnalista.csv,4675.831122521751,4741.456568249893,23.503637141634574,0.3710738156427471,0.014980527135881463,22.89145628298388,55138.730524889455,276502.4540008558,0.7363635542299528,0.26363644577004713,0.04238974782223028,164210.1376408501,,36806300.34751244,27627023.245024875,56549831.97860696,24758154.717412934,4452680.260945274,11873977.041791044,14515008.461691542,53139059.04895105,15800716.517482517,10.421435707149993,27339399.244897958,2006.0074169162745,9497591.962487519,0.05933533019540722,0.37783483097988874,0.815587270831636,2431740.5865069176,
18,status_AprovadoComite.csv,1993.5591397849462,2036.3655913978494,31.949820788530467,0.3165595700311828,0.0072113891211401425,32.403225806451616,202038.25041218637,3067368.5448028673,0.7180625597774106,0.28193744022258926,0.04893530271200431,511223.5483870968,151755129.83695653,124722258.23369566,264872943.29619566,83346846.38858695,9489846.467391305,77069835.20923913,29363896.760869566,122348467.58960573,32327044.528673835,10.317204301075268,57820775.59318996,2003.6863799283153,31114600.8781362,0.1039426523297491,0.4390681003584229,0.7148874610575269,10213831.437275985,,
19,status_DocumentacaoReprovada.csv,4712.746031746032,4777.224206349207,28.930555555555557,0.34066780568472216,0.08283796532019704,25.988095238095237,52802.05569444445,3992047.119047619,0.9885317727720019,0.011468227227998116,-0.0003941974994100446,,,42761543.0,25217465.846153848,50216176.461538464,23700588.769230768,1156821.076923077,25220645.923076924,13238631.384615384,60307255.84210526,19477099.57894737,9.473684210526315,39153249.578947365,2011.421052631579,48057421.05263158,0.765756120328373,5699626.842105263,,,
20,status_EmAnaliseDocumentacao.csv,5894.501730103806,5967.501730103806,25.377162629757784,0.3325584682370242,0.0,29.878892733564015,138749.03429065744,3045157.8788927337,0.9735541275333665,0.02644587246663371,0.024483451003330724,,,65154436.208333336,51597216.416666664,68712460.58333333,29270366.125,8945862.708333334,24696614.083333332,27419278.25,193072276.32142857,54387862.928571425,9.428571428571429,104131072.78571428,2008.103448275862,6793527.206896552,0.7417842314148789,5331168.931034483,,,
21,status_ReprovadoAnalista.csv,3795.8813559322034,3857.2847457627117,27.10169491525424,0.3354225756564407,0.03900873270212766,11.216949152542373,21254.22581355932,81101.66779661017,0.6381961259079902,0.36180387409200965,0.14204574835386322,,,11811200.05,5380957.516666667,15560556.266666668,7429642.993333333,1709460.2766666666,4192572.033333333,5241742.743333333,17926913.208474576,3032365.320338983,9.983050847457626,7843693.391525424,2008.0203389830508,9934382.725423729,0.4915254237288136,0.45084745762711864,0.7340084069649153,707013.8118644068,
22,status_ReprovadoComite.csv,1547.6,1586.0,29.15,0.268650931825,0.0,7.65,174429.34449999998,6643500.0,0.6158187331536389,0.38418126684636106,0.3831134985804133,,,170509463.57142857,90181035.57142857,431010030.28571427,79673270.85714285,7641382.0,64664123.71428572,81284439.14285715,126329837.05,42757693.45,10.35,66765421.0,2011.1,67594360.35,0.2,0.5,0.60922881161,1491340.4,
